Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
18.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4036	0.0000	0.4036	0.0000	-0.0084	0.0000	-1082.7209	
18.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.3929	0.0000	0.3929	0.0000	-0.0102	0.0000	-1083.5175	
18.7600	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0046	0.0000	-1083.5175	
18.9600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	0.0009	0.0000	-1083.5175	
19.1600	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0074	0.0000	-1083.3847	
19.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0084	0.0000	-1082.7209	
19.5600	0.0000	71.7773	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0112	0.0000	-1083.2520	
19.7600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0046	0.0000	-1083.1192	
19.9610	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4036	0.0000	0.4036	0.0000	-0.0112	0.0000	-1083.2520	
20.1600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.3823	0.0000	0.3823	0.0000	-0.0065	0.0000	-1083.3847	
20.3600	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0065	0.0000	-1083.3847	
20.5600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0130	0.0000	-1082.8537	
20.7600	0.0000	71.7773	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0019	0.0000	-1083.1192	
20.9600	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0084	0.0000	-1083.5175	
21.1600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4673	0.0000	0.4673	0.0000	0.0000	0.0000	-1082.9865	
21.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0056	0.0000	-1083.3847	
21.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	83.0078	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0102	0.0000	-1083.5175	
21.7600	0.0000	71.7773	0.0000	45.6543	0.0000	62.2559	0.0000	82.7637	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0009	0.0000	-1082.9865	
21.9600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.5310	0.0000	0.5310	0.0000	-0.0093	0.0000	-1083.5175	
22.1600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0084	0.0000	-1083.5175	
22.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0130	0.0000	-1082.7209	
22.5600	0.0000	71.7773	0.0000	45.6543	0.0000	62.2559	0.0000	82.7637	0.0000	0.4991	0.0000	0.4991	0.0000	-0.0074	0.0000	-1082.9865	
22.7600	0.0000	72.2656	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0121	0.0000	-1083.5175	
22.9600	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0084	0.0000	-1083.5175	
23.1600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4354	0.0000	0.4354	0.0000	-0.0028	0.0000	-1082.7209	
23.3600	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.4354	0.0000	0.4354	0.0000	-0.0112	0.0000	-1083.5175	
23.5600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0028	0.0000	-1083.5175	
23.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0139	0.0000	-1083.1192	
23.9600	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0046	0.0000	-1083.5175	
24.1600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	83.0078	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0056	0.0000	-1083.5175	
24.3600	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0065	0.0000	-1083.5175	
24.5600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0056	0.0000	-1083.3847	
24.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.2520	0.0000	0.4036	0.0000	0.4036	0.0000	-0.0130	0.0000	-1083.5175	
24.9600	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0074	0.0000	-1083.3847	
25.1600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4354	0.0000	0.4354	0.0000	-0.0093	0.0000	-1083.5175	
25.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.3929	0.0000	0.3929	0.0000	-0.0065	0.0000	-1082.7209	
25.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	83.0078	0.0000	0.5098	0.0000	0.5098	0.0000	-0.0019	0.0000	-1083.3847	
25.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0130	0.0000	-1083.3847	
25.9600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0093	0.0000	-1083.5175	
26.1600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4036	0.0000	0.4036	0.0000	-0.0084	0.0000	-1083.5175	
26.3600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0009	0.0000	-1083.5175	
26.5600	0.0000	72.0215	0.0000	45.6543	0.0000	62.2559	0.0000	83.0078	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0102	0.0000	-1083.5175	
26.7600	0.0000	71.5332	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0093	0.0000	-1082.8537	
