Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
24.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.9452	0.0000	0.9452	0.0000	-0.0037	0.0000	-1083.3847	
24.5410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	0.0028	0.0000	-1083.5175	
24.7410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0093	0.0000	-1083.5175	
24.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0056	0.0000	-1083.5175	
25.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0074	0.0000	-1083.5175	
25.3410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8284	0.0000	0.8284	0.0000	-0.0037	0.0000	-1082.7209	
25.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.8602	0.0000	0.8602	0.0000	0.0009	0.0000	-1083.5175	
25.7410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.7965	0.0000	0.7965	0.0000	-0.0037	0.0000	-1083.5175	
25.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8921	0.0000	0.8921	0.0000	0.0000	0.0000	-1083.5175	
26.1420	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0056	0.0000	-1083.2520	
